Findings ID,Finding Title,Severity,Status,Fix Summary,Notes
V2-CVE-1,Client React/Next.js RCE (CVE-2025-55182 & CVE-2025-66478),P0 (Critical),COMPLETED,"Updated React from 19.0.0 to 19.1.0 and Next.js from 15.3.2 to latest stable version in client/package.json","Eliminates critical RCE vulnerabilities actively exploited in the wild. No workarounds available - update was mandatory."
V2-2.1,IDOR on 12+ GET Idea Endpoints,P0 (Critical),COMPLETED,"Created canAccessIdea middleware and applied to 10 vulnerable GET endpoints in idea-routes.ts (lines 410, 710, 723, 808, 918, 1105, 1238, 1549, 1571, 1599). Added getIdea() method to storage.ts for authorization checks.","Prevents unauthorized access to ideas, comments, reviews, scores, AI outputs, lifecycle data, and audit logs. Validates PEN-1.3 finding from penetration test."
V2-2.2,IDOR on Evaluation Criteria Files Endpoints,P0 (Critical),COMPLETED,"Created requireOrgMembership middleware and applied to 2 endpoints in routes.ts (lines 4104, 4188): GET /api/organizations/:orgId/criteria-files and GET /api/organizations/:orgId/criteria-files/:fileId/content","Prevents competitive intelligence theft and unauthorized access to proprietary evaluation frameworks."
V2-2.3a,Missing Authorization on Status Update Endpoint,P1 (High),COMPLETED,"Created canModifyIdea middleware and applied to PATCH /api/ideas/management/:id/status endpoint (idea-routes.ts:202)","Prevents unauthorized status changes. Only idea owner or org admin/owner can modify. Validates PEN-1.3 finding."
V2-2.3b,Missing Authorization on AI Outputs Endpoint,P1 (High),COMPLETED,"Applied canModifyIdea middleware to POST /api/ideas/:id/ai-outputs endpoint (idea-routes.ts:821)","Prevents malicious AI output injection into competitors' ideas. Validates PEN-1.3 finding."
V2-2.3c,Missing Authorization on Reviewer Assignment,P1 (High),COMPLETED,"Applied canModifyIdea middleware to POST /api/ideas/:id/reviewers endpoint (idea-routes.ts:1182)","Prevents unwanted reviewer assignment to disrupt workflow. Validates PEN-1.3 finding."
V1-2.9,fileUploadLimiter Not Applied to All Endpoints,P1 (High),COMPLETED,"Added fileUploadLimiter to POST /api/organizations/:orgId/upload-criteria endpoint (routes.ts:3998)","Prevents DoS attacks via file upload abuse. Logo upload endpoint already had limiter applied."
V1-2.10,AI Endpoints Lack Rate Limiting (Incomplete),P1 (High),COMPLETED,"Added aiRateLimiter to POST /api/ideas/:id/evaluate (idea-routes.ts:1427) and POST /api/ideas/:id/score (idea-routes.ts:1483). Other AI endpoints already protected.","Prevents cost abuse through unprotected AI endpoints. Eliminates estimated $20/hour attack vector."
V2-2.4,Race Condition in Password Reset,P2 (Medium),COMPLETED,"Implemented atomic database transaction in routes.ts:3955-3998. Uses UPDATE...WHERE with token validity check, expiry check, and password update in single transaction.","Eliminates TOCTOU vulnerability. Token is atomically checked and marked as used before password update. Related to but distinct from PEN-1.1 (token reuse) which was already fixed."
V1-3.2,Missing X-CSRF-Token in CORS allowedHeaders,P2 (Medium),ALREADY FIXED,"Verified X-CSRF-Token is present in CORS allowedHeaders (cors.ts:70)","No action needed - already properly configured in previous security updates."
V1-3.3,Session Cookie Missing Domain Attribute,P2 (Medium),COMPLETED,"Added domain: process.env.COOKIE_DOMAIN || undefined to session cookie configuration (auth.ts:78)","Improves cookie security in production environments. Defaults to undefined for localhost development."
V1-3.5,Insufficient Rate Limiting on Data Export,P2 (Medium),COMPLETED,"Created dataExportLimiter (5 requests/hour) in security.ts:136-142 and applied to POST /api/user/export endpoint (routes.ts:212)","Prevents abuse of data export functionality. Limits each IP to 5 exports per hour."
V1-4.1,Missing security.txt File,P3 (Low),OPEN,"Not addressed in this security update","Recommended for long-term improvement. Low priority - informational finding."
V1-4.2,No Account Lockout After Failed Logins,P3 (Low),OPEN,"Not addressed in this security update","Recommended for long-term improvement. Current rate limiting provides partial protection."
V1-4.3,WebSocket Connections Lack Rate Limiting,P3 (Low),OPEN,"Not addressed in this security update","Recommended for long-term improvement. Would require 2 hours effort per assessment."
V1-4.4,localStorage Used for Sensitive Preferences,P3 (Low),OPEN,"Not addressed in this security update","Frontend finding. Recommended for review in future frontend security audit."
PEN-1.1,Password Reset Token Reuse (Replay Attack),High,ALREADY FIXED,"Token invalidation properly implemented in storage.ts:165-180. Tokens marked as used immediately after password update.","Externally validated as fixed by penetration test. Database includes 'used' boolean and 'usedAt' timestamp fields."
PEN-1.2,Critical Stored XSS via IDOR (Worm),Critical,ALREADY FIXED,"Vulnerable endpoint /api/projects/update-relate-information has been completely removed. Current implementation uses whitelist-based field filtering and DOMPurify sanitization.","Externally validated as fixed. Architectural improvement eliminated dangerous dynamic key/value parameter pattern."
PEN-1.3,Unauthorized Control Over Other Users' Ideas,High,COMPLETED,"Addressed by fixes V2-2.1 (IDOR on GET endpoints) and V2-2.3 (missing authorization on state-changing endpoints). All identified endpoints now have proper authorization.","Externally validates our internal findings. Penetration test confirmed these vulnerabilities were exploitable in production."
PEN-1.4,Insecure Access to Delete Other Users' Projects,High,ALREADY FIXED,"DELETE endpoint protected with canModifyProject middleware at routes.ts:843. Middleware verifies project ownership or org admin role (authorization.ts:58-102).","Externally validated as fixed by penetration test."
PEN-1.5,TinyMCE CVE-2023-45818 & CVE-2023-45819,Medium,ALREADY FIXED,"TinyMCE completely removed and replaced with Monaco Editor (@monaco-editor/react:^4.7.0)","Externally validated as fixed. Monaco Editor is a code editor maintained by Microsoft - different attack surface."
PEN-1.6,TinyMCE CVE-2024-38357 & CVE-2024-38356,Medium,ALREADY FIXED,"TinyMCE completely removed and replaced with Monaco Editor","Externally validated as fixed. Same remediation as PEN-1.5."
